date,product_id,quantity,price,revenue,normalized_price
2025-01-01,P101,10,500.0,5000.0,0.2
2025-01-02,P102,12,700.0,8400.0,0.6
2025-01-03,P103,12,700.0,8400.0,0.6
2025-01-04,P104,8,900.0,7200.0,1.0
2025-01-05,P101,15,500.0,7500.0,0.2
2025-01-06,P102,9,700.0,6300.0,0.6
2025-01-07,,11,400.0,4400.0,0.0
2025-01-08,P104,14,900.0,12600.0,1.0
2025-01-09,P101,12,500.0,6000.0,0.2
2025-01-10,P102,12,700.0,8400.0,0.6
2025-01-11,P103,15,700.0,10500.0,0.6
2025-01-12,P104,18,900.0,16200.0,1.0
2025-01-13,P101,6,500.0,3000.0,0.2
2025-01-14,P102,9,700.0,6300.0,0.6
2025-01-15,P103,12,400.0,4800.0,0.0
2025-01-16,P104,15,900.0,13500.0,1.0
2025-01-17,P101,8,500.0,4000.0,0.2
2025-01-18,P102,11,700.0,7700.0,0.6
2025-01-19,P103,14,700.0,9800.0,0.6
2025-01-20,P104,17,900.0,15300.0,1.0
2025-01-21,P101,10,500.0,5000.0,0.2
2025-01-22,P102,13,700.0,9100.0,0.6
2025-01-23,P103,16,400.0,6400.0,0.0
2025-01-24,P104,12,900.0,10800.0,1.0
2025-01-25,P101,7,500.0,3500.0,0.2
2025-01-26,P102,10,700.0,7000.0,0.6
2025-01-27,P103,13,400.0,5200.0,0.0
2025-01-28,P104,16,700.0,11200.0,0.6
2025-01-29,P101,9,500.0,4500.0,0.2
2025-01-30,P102,12,700.0,8400.0,0.6
2025-01-31,P103,15,400.0,6000.0,0.0
2025-02-01,P104,18,900.0,16200.0,1.0
2025-02-02,P101,6,500.0,3000.0,0.2
2025-02-03,P102,12,700.0,8400.0,0.6
2025-02-04,P103,12,400.0,4800.0,0.0
2025-02-05,P104,15,900.0,13500.0,1.0
2025-02-06,P101,8,500.0,4000.0,0.2
2025-02-07,P102,11,700.0,7700.0,0.6
2025-02-08,P103,14,400.0,5600.0,0.0
2025-02-09,P104,17,900.0,15300.0,1.0
2025-02-10,P101,10,700.0,7000.0,0.6
2025-02-11,P102,13,700.0,9100.0,0.6
2025-02-12,P103,16,400.0,6400.0,0.0
2025-02-13,P104,19,900.0,17100.0,1.0
2025-02-14,P101,7,500.0,3500.0,0.2
2025-02-15,P102,10,700.0,7000.0,0.6
2025-02-16,P103,13,400.0,5200.0,0.0
2025-02-17,P104,16,900.0,14400.0,1.0
2025-02-18,P101,9,500.0,4500.0,0.2
2025-02-19,P102,12,700.0,8400.0,0.6
2025-02-20,P103,15,400.0,6000.0,0.0
2025-02-21,P104,18,900.0,16200.0,1.0
2025-02-22,P101,12,500.0,6000.0,0.2
2025-02-23,P102,9,700.0,6300.0,0.6
2025-02-24,P103,12,400.0,4800.0,0.0
2025-02-25,P104,15,900.0,13500.0,1.0
2025-02-26,P101,8,500.0,4000.0,0.2
2025-02-27,P102,11,700.0,7700.0,0.6
2025-02-28,P103,14,400.0,5600.0,0.0
2025-03-01,P104,17,900.0,15300.0,1.0
2025-03-02,P101,10,500.0,5000.0,0.2
2025-03-03,P102,13,700.0,9100.0,0.6
2025-03-04,P103,16,400.0,6400.0,0.0
2025-03-05,P104,12,900.0,10800.0,1.0
2025-03-06,P101,7,500.0,3500.0,0.2
2025-03-07,P102,10,700.0,7000.0,0.6
2025-03-08,P103,13,400.0,5200.0,0.0
2025-03-09,P104,16,700.0,11200.0,0.6
2025-03-10,P101,9,500.0,4500.0,0.2
2025-03-11,P102,12,700.0,8400.0,0.6
2025-03-12,P103,15,400.0,6000.0,0.0
2025-03-13,P104,18,900.0,16200.0,1.0
2025-03-14,P101,6,500.0,3000.0,0.2
2025-03-15,P102,9,700.0,6300.0,0.6
2025-03-16,P103,12,400.0,4800.0,0.0
2025-03-17,P104,15,900.0,13500.0,1.0
2025-03-18,P101,8,500.0,4000.0,0.2
2025-03-19,P102,11,700.0,7700.0,0.6
2025-03-20,P103,14,400.0,5600.0,0.0
2025-03-21,P104,17,900.0,15300.0,1.0
2025-03-22,P101,10,500.0,5000.0,0.2
2025-03-23,P102,13,700.0,9100.0,0.6
2025-03-24,P103,16,400.0,6400.0,0.0
2025-03-25,P104,12,900.0,10800.0,1.0
2025-03-26,P101,7,500.0,3500.0,0.2
2025-03-27,P102,10,700.0,7000.0,0.6
2025-03-28,P103,13,400.0,5200.0,0.0
2025-03-29,P104,16,900.0,14400.0,1.0
2025-03-30,P101,9,700.0,6300.0,0.6
2025-03-31,P102,12,700.0,8400.0,0.6
2025-04-01,P103,15,400.0,6000.0,0.0
2025-04-02,P104,18,900.0,16200.0,1.0
2025-04-03,P101,6,500.0,3000.0,0.2
2025-04-04,P102,9,700.0,6300.0,0.6
2025-04-05,P103,12,400.0,4800.0,0.0
2025-04-06,P104,15,900.0,13500.0,1.0
